JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	Journal des à-nouveaux	0000001	20260101	512000	Banque principale			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	142000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	205000	Concessions brevets licences logiciels			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	18000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	218100	Installations générales agencements			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	26000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	218200	Matériel de transport			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	12000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	218300	Matériel de bureau et informatique			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	56000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	218400	Mobilier			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	14000,00	0,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	101000	Capital social			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	60000,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	106100	Réserve légale			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	6000,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	110000	Report à nouveau créditeur			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	84000,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	164000	Emprunts auprès des établissements de crédit			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	88000,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	280500	Amortissements logiciels			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	3600,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	281810	Amortissements installations générales			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	5200,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	281820	Amortissements matériel de transport			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	2400,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	281830	Amortissements matériel informatique			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	16800,00			20260101		
AN	Journal des à-nouveaux	0000001	20260101	281840	Amortissements mobilier			AN2026	20260101	À-nouveaux fictifs au 01/01/2026	0,00	2000,00			20260101		
AC	Journal des achats	0000002	20260102	613200	Locations immobilières			AC01F00102	20260102	Loyer bureaux Bordeaux 310m2 - BAIL ATLANTIQUE BUREAUX surface_m2=310	4200,00	0,00			20260102		
AC	Journal des achats	0000002	20260102	445660	TVA déductible autres biens et services			AC01F00102	20260102	Loyer bureaux Bordeaux 310m2 - BAIL ATLANTIQUE BUREAUX surface_m2=310	840,00	0,00			20260102		
AC	Journal des achats	0000002	20260102	401000	Fournisseurs	F001	BAIL ATLANTIQUE BUREAUX	AC01F00102	20260102	Loyer bureaux Bordeaux 310m2 - BAIL ATLANTIQUE BUREAUX surface_m2=310	0,00	5040,00			20260102		
AC	Journal des achats	0000003	20260103	614000	Charges locatives et copropriété			AC01F00103	20260103	Charges locatives bureaux - BAIL ATLANTIQUE BUREAUX surface_m2=310	635,00	0,00			20260103		
AC	Journal des achats	0000003	20260103	445660	TVA déductible autres biens et services			AC01F00103	20260103	Charges locatives bureaux - BAIL ATLANTIQUE BUREAUX surface_m2=310	127,00	0,00			20260103		
AC	Journal des achats	0000003	20260103	401000	Fournisseurs	F001	BAIL ATLANTIQUE BUREAUX	AC01F00103	20260103	Charges locatives bureaux - BAIL ATLANTIQUE BUREAUX surface_m2=310	0,00	762,00			20260103		
AC	Journal des achats	0000004	20260104	606110	Électricité bureaux			AC01F00204	20260104	Electricité bureaux - ENERGIE GARONNE kWh=4800	1050,00	0,00			20260104		
AC	Journal des achats	0000004	20260104	445660	TVA déductible autres biens et services			AC01F00204	20260104	Electricité bureaux - ENERGIE GARONNE kWh=4800	210,00	0,00			20260104		
AC	Journal des achats	0000004	20260104	401000	Fournisseurs	F002	ENERGIE GARONNE	AC01F00204	20260104	Electricité bureaux - ENERGIE GARONNE kWh=4800	0,00	1260,00			20260104		
AC	Journal des achats	0000005	20260104	606120	Gaz chauffage bureaux			AC01F00204	20260104	Gaz chauffage bureaux - ENERGIE GARONNE kWh=1570	310,00	0,00			20260104		
AC	Journal des achats	0000005	20260104	445660	TVA déductible autres biens et services			AC01F00204	20260104	Gaz chauffage bureaux - ENERGIE GARONNE kWh=1570	62,00	0,00			20260104		
AC	Journal des achats	0000005	20260104	401000	Fournisseurs	F002	ENERGIE GARONNE	AC01F00204	20260104	Gaz chauffage bureaux - ENERGIE GARONNE kWh=1570	0,00	372,00			20260104		
AC	Journal des achats	0000006	20260105	606130	Eau bureaux			AC01F00305	20260105	Eau bureaux - EAU BORDEAUX METROPOLE m3=43	107,00	0,00			20260105		
AC	Journal des achats	0000006	20260105	445660	TVA déductible autres biens et services			AC01F00305	20260105	Eau bureaux - EAU BORDEAUX METROPOLE m3=43	21,40	0,00			20260105		
AC	Journal des achats	0000006	20260105	401000	Fournisseurs	F003	EAU BORDEAUX METROPOLE	AC01F00305	20260105	Eau bureaux - EAU BORDEAUX METROPOLE m3=43	0,00	128,40			20260105		
VE	Journal des ventes	0000007	20260106	411000	Clients	C001	CLIENT NEOVIGNE SOLUTIONS	VE01A	20260106	Facture CLIENT NEOVIGNE SOLUTIONS 01/2026 projet=DATA_GOUV	52800,00	0,00			20260106		
VE	Journal des ventes	0000007	20260106	706100	Prestations conseil data gouvernance			VE01A	20260106	Facture CLIENT NEOVIGNE SOLUTIONS 01/2026 projet=DATA_GOUV	0,00	33280,00			20260106		
VE	Journal des ventes	0000007	20260106	706200	Prestations développement prototype			VE01A	20260106	Facture CLIENT NEOVIGNE SOLUTIONS 01/2026 projet=DATA_GOUV	0,00	10720,00			20260106		
VE	Journal des ventes	0000007	20260106	445710	TVA collectée			VE01A	20260106	Facture CLIENT NEOVIGNE SOLUTIONS 01/2026 projet=DATA_GOUV	0,00	8800,00			20260106		
